Contestant,2016,2017,2018,2019,2021,2022
Albania,0.0,0.0,0.0,0.22,0.0,2.05
Armenia,0.302325581,0.159090909,0.0,0.2,0.0,0.0
Australia,6.511627907,0.818181818,4.6,0.04,0.09,0.37
Austria,2.976744186,0.318181818,1.6,0.0,0.0,1.7
Azerbaijan,0.813953488,0.772727273,0.1,2.73,1.37,0.0
Belarus,0.0,0.340909091,0.6,0.0,0.0,0.0
Belgium,0.046511628,7.613636364,3.3,0.38,0.16,0.05
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,4.069767442,2.727272727,4.0,0.0,0.16,0.0
Croatia,1.465116279,0.136363636,0.0,0.0,0.7,0.09
Cyprus,1.372093023,0.295454545,2.4,4.84,5.53,1.37
Czech Republic,0.837209302,0.045454545,4.1,0.13,0.0,0.81
Denmark,0.0,0.977272727,2.3,0.42,0.74,0.0
Estonia,0.720930233,5.5,2.0,0.16,0.09,1.26
Finland,0.0,1.454545455,5.1,0.0,0.86,0.86
France,9.88372093,6.295454545,8.0,0.56,7.4,4.07
Georgia,0.0,0.090909091,0.0,0.0,0.0,0.0
Germany,0.093023256,0.0,0.8,0.0,0.0,0.05
Greece,0.0,0.136363636,2.7,1.98,1.35,0.88
Hungary,1.860465116,0.909090909,0.0,0.04,0.0,0.0
Iceland,1.023255814,0.204545455,0.0,2.53,1.16,0.0
Ireland,0.186046512,0.090909091,0.1,0.0,0.23,0.0
Israel,0.093023256,2.318181818,10.4,0.11,0.33,0.0
Italy,3.953488372,11.29545455,1.7,9.13,1.88,9.0
Latvia,2.558139535,0.272727273,0.1,0.04,0.07,0.16
Lithuania,0.139534884,0.0,0.1,0.0,7.0,0.26
Macedonia (FYR),0.139534884,0.0,0.0,0.0,0.0,0.0
Malta,0.139534884,0.0,0.0,1.42,8.44,0.05
Moldova,0.0,0.0,0.0,0.0,0.4,0.14
Montenegro,0.0,0.386363636,0.0,0.0,0.0,0.0
Netherlands,0.0,0.068181818,0.0,8.91,0.0,0.0
Norway,0.348837209,0.681818182,0.3,4.98,0.44,2.79
Poland,0.651162791,0.090909091,0.1,0.16,0.0,3.35
Romania,0.0,0.409090909,0.0,0.0,0.91,0.05
Russia,9.11627907,0.0,0.0,2.36,0.53,0.0
San Marino,0.093023256,0.113636364,0.0,0.51,5.51,0.0
Serbia,0.976744186,0.068181818,0.0,0.0,0.26,1.23
Slovenia,0.139534884,0.0,0.0,0.49,0.0,0.0
Spain,3.604651163,0.0,0.6,1.53,0.02,6.84
Sweden,1.837209302,7.0,2.1,4.24,2.44,9.14
Switzerland,0.0,0.931818182,0.0,9.02,8.33,0.02
Ukraine,2.046511628,0.0,0.4,0.0,1.49,1.4
United Kingdom,0.0,0.272727273,0.1,0.13,0.09,4.74
FYR Macedonia,0.0,2.431818182,0.3,0.0,0.0,0.0
Portugal,0.0,2.772727273,0.0,0.42,0.0,0.21
North Macedonia,0.0,0.0,0.0,0.29,0.0,0.0
The Netherlands,0.0,0.0,0.0,0.0,0.0,5.07
